Province,City/Municipality,Barangay,Zip
Batangas,Agoncillo,Adia,4211
Batangas,Agoncillo,Arbobe,4211
Batangas,Agoncillo,Balagbag,4211
Batangas,Agoncillo,Banyaga,4211
Batangas,Agoncillo,Barangay Subic Ibaba,4211
Batangas,Agoncillo,Barangay Subic Ilaya,4211
Batangas,Agoncillo,Banyaga East,4211
Batangas,Agoncillo,Bulihan,4211
Batangas,Agoncillo,Coral na Munti,4211
Batangas,Agoncillo,Guitna,4211
Batangas,Agoncillo,Pansipit,4211
Batangas,Agoncillo,Poblacion,4211
Batangas,Agoncillo,Pulang Bato,4211
Batangas,Agoncillo,San Jacinto,4211
Batangas,Agoncillo,San Teodoro,4211
Batangas,Agoncillo,Subic Ibaba,4211
Batangas,Agoncillo,Subic Ilaya,4211
Batangas,Agoncillo,Tikin,4211
Batangas,Balayan,Antipolo,4213
Batangas,Balayan,Barangay 1 (Poblacion),4213
Batangas,Balayan,Barangay 2 (Poblacion),4213
Batangas,Balayan,Barangay 3 (Poblacion),4213
Batangas,Balayan,Barangay 4 (Poblacion),4213
Batangas,Balayan,Barangay 5 (Poblacion),4213
Batangas,Balayan,Barangay 6 (Poblacion),4213
Batangas,Balayan,Barangay 7 (Poblacion),4213
Batangas,Balayan,Barangay 8 (Poblacion),4213
Batangas,Balayan,Barangay 9 (Poblacion),4213
Batangas,Balayan,Barangay 10 (Poblacion),4213
Batangas,Balayan,Barangay 11 (Poblacion),4213
Batangas,Balayan,Barangay 12 (Poblacion),4213
Batangas,Balayan,Calan,4213
Batangas,Balayan,Calica,4213
Batangas,Balayan,Carretunan,4213
Batangas,Balayan,Dao,4213
Batangas,Balayan,Durungao,4213
Batangas,Balayan,Lucban Putol,4213
Batangas,Balayan,Lucban Pook,4213
Batangas,Balayan,Mabayapas,4213
Batangas,Balayan,Malalay,4213
Batangas,Balayan,Navotas,4213
Batangas,Balayan,Palikpikan,4213
Batangas,Balayan,Patugo,4213
Batangas,Balayan,Sambat,4213
Batangas,Balayan,San Juan,4213
Batangas,Balayan,Santelices,4213
Batangas,Balayan,Tanggoy,4213
Batangas,Lipa,Antipolo Del Norte,4217
Batangas,Lipa,Antipolo Del Sur,4217
Batangas,Lipa,Balatbat,4217
Batangas,Lipa,Banaybanay,4217
Batangas,Lipa,Bariñgbaríng,4217
Batangas,Lipa,Bolbok,4217
Batangas,Lipa,Burol,4217
Batangas,Lipa,Cumba,4217
Batangas,Lipa,Halang,4217
Batangas,Lipa,Inosloban,4217
Batangas,Lipa,Kayumanggi,4217
Batangas,Lipa,Lodlod,4217
Batangas,Lipa,Mabini,4217
Batangas,Lipa,Malagonlong,4217
